county,pop,cases,date
Albany,307426,127,3/23/20 3:03
Allegany,47025,2,3/23/20 3:03
Broome,194402,7,3/23/20 3:03
Cayuga,77868,2,3/23/20 3:03
Chenango,48348,3,3/23/20 3:03
Clinton,80794,6,3/23/20 3:03
Columbia,60919,10,3/23/20 3:03
Cortland,48123,2,3/23/20 3:03
Delaware,45502,3,3/23/20 3:03
Dutchess,293894,100,3/23/20 3:03
Erie,919866,87,3/23/20 3:03
Essex,37751,3,3/23/20 3:03
Fulton,53743,1,3/23/20 3:03
Genesee,58112,1,3/23/20 3:03
Greene,47617,4,3/23/20 3:03
Hamilton,4575,2,3/23/20 3:03
Herkimer,62505,4,3/23/20 3:03
Jefferson,114448,2,3/23/20 3:03
Livingston,63907,3,3/23/20 3:03
Madison,71359,4,3/23/20 3:03
Monroe,744248,76,3/23/20 3:03
Montgomery,49426,3,3/23/20 3:03
Nassau,1356564,2442,3/23/20 3:03
New York City,8443713,12305,3/23/20 3:03
Niagara,211704,10,3/23/20 3:03
Oneida,230782,7,3/23/20 3:03
Onondaga,464242,52,3/23/20 3:03
Ontario,109472,6,3/23/20 3:03
Orange,378227,389,3/23/20 3:03
Oswego,119104,1,3/23/20 3:03
Otsego,60244,1,3/23/20 3:03
Putnam,99070,45,3/23/20 3:03
Rensselaer,159431,29,3/23/20 3:03
Rockland,323686,592,3/23/20 3:03
Saratoga,227377,53,3/23/20 3:03
Schenectady,154883,44,3/23/20 3:03
Schoharie,31364,1,3/23/20 3:03
St. Lawrence,109558,1,3/23/20 3:03
Steuben,96927,4,3/23/20 3:03
Suffolk,1487901,1458,3/23/20 3:03
Sullivan,75211,23,3/23/20 3:03
Tioga,49045,1,3/23/20 3:03
Tompkins,102962,15,3/23/20 3:03
Ulster,179303,35,3/23/20 3:03
Warren,64480,2,3/23/20 3:03
Washington,61828,3,3/23/20 3:03
Wayne,90856,6,3/23/20 3:03
Westchester,968815,2894,3/23/20 3:03
Wyoming,40565,4,3/23/20 3:03